============================Training Log===================
val_loss:2.45256351243    val_acc:0.957798163169    loss:21.6089391659
val_loss:1.72420609675    val_acc:0.94128440531    loss:1.91229438511
val_loss:2.33689460229    val_acc:0.877064221933    loss:1.76766749276
val_loss:1.74455674679    val_acc:0.94495413019    loss:1.87268661319
val_loss:1.88963611673    val_acc:0.915596328307    loss:1.80025313205
val_loss:2.23221272416    val_acc:0.939449544784    loss:1.78493715144
val_loss:0.636105266733    val_acc:0.981651377897    loss:1.26285336824
val_loss:0.333211678102    val_acc:0.988990827438    loss:0.376820508276
val_loss:0.357986395457    val_acc:0.987155963303    loss:0.326771460769
val_loss:0.395997568883    val_acc:0.97247706422    loss:0.273871130213
val_loss:0.485457730621    val_acc:0.988990825688    loss:0.487615209221
val_loss:0.705876033678    val_acc:0.944954130081    loss:0.294536973668
val_loss:0.358288268048    val_acc:0.988990825688    loss:0.371623458394
val_loss:0.26510616437    val_acc:0.987155963303    loss:0.261376463173
val_loss:0.208275495839    val_acc:0.990825688073    loss:0.186706242805
val_loss:0.201171635296    val_acc:0.992660550459    loss:0.140156075725
val_loss:0.219820007572    val_acc:0.974311926606    loss:0.109297632257
val_loss:0.10713230541    val_acc:0.994495412844    loss:0.0877827809219
val_loss:0.154088282284    val_acc:0.979816513761    loss:0.0767213400235
val_loss:0.100485698305    val_acc:0.990825688073    loss:0.0654220481066
val_loss:0.25594698002    val_acc:0.981651376147    loss:0.0729631918477
val_loss:0.116000363832    val_acc:0.994495414594    loss:0.0878632004629
val_loss:0.113877270501    val_acc:0.992660550459    loss:0.0839867355242
val_loss:0.120320768572    val_acc:0.994495412844    loss:0.0856579057768
val_loss:0.128173849793    val_acc:0.992660550459    loss:0.0864546765303
val_loss:0.115532039885    val_acc:0.988990827438    loss:0.0766809709469
val_loss:0.114088255037    val_acc:0.990825688073    loss:0.0706257296758
val_loss:0.115754544899    val_acc:0.992660552209    loss:0.0623377568791
